date_time,steps,speed_ms,distance_m,calorie
1970-01-01 00:28:43.852800,19742,1.6711115,16193.54,857.9708
1970-01-01 00:28:43.852800,19742,1.6711115,16193.54,857.9708
1970-01-01 00:28:43.939200,8369,1.5048599,6598.866,317.05975
1970-01-01 00:28:43.939200,8369,1.5048599,6598.866,317.05975
1970-01-01 00:28:44.025600,16696,1.6609436,13667.264,740.9101
1970-01-01 00:28:44.025600,16696,1.6609436,13667.264,740.9101
1970-01-01 00:28:44.112000,10516,1.6546472,8592.947,449.99008
1970-01-01 00:28:44.112000,10516,1.6546472,8592.947,449.99008
1970-01-01 00:28:44.198400,15789,1.8242011,13340.79,748.7312
1970-01-01 00:28:44.198400,15789,1.8242011,13340.79,748.7312
1970-01-01 00:28:44.284800,3002,1.5922401,2409.3596,110.33001
1970-01-01 00:28:44.284800,3002,1.5922401,2409.3596,110.33001
1970-01-01 00:28:44.371200,9280,1.4730136,7255.272,344.56
1970-01-01 00:28:44.371200,9280,1.4730136,7255.272,344.56
1970-01-01 00:28:44.457600,12882,1.7550482,10725.84,598.76166
1970-01-01 00:28:44.457600,12882,1.7550482,10725.84,598.76166
1970-01-01 00:28:44.544000,12500,1.6042283,10047.373,471.85068
1970-01-01 00:28:44.544000,12500,1.6042283,10047.373,471.85068
1970-01-01 00:28:44.630400,9396,1.4987198,7387.5493,350.54996
1970-01-01 00:28:44.630400,9396,1.4987198,7387.5493,350.54996
1970-01-01 00:28:44.716800,15051,1.5798835,12085.482,605.8705
1970-01-01 00:28:44.716800,15051,1.5798835,12085.482,605.8705
1970-01-01 00:28:44.803200,10889,1.8041234,9322.589,521.32043
1970-01-01 00:28:44.803200,10889,1.8041234,9322.589,521.32043
1970-01-01 00:28:44.889600,13276,1.5579424,10712.939,508.74066
1970-01-01 00:28:44.889600,13276,1.5579424,10712.939,508.74066
1970-01-01 00:28:44.976000,10740,1.840388,9341.374,525.0703
1970-01-01 00:28:44.976000,10740,1.840388,9341.374,525.0703
1970-01-01 00:28:45.062400,4743,1.5732015,3851.9026,184.94986
1970-01-01 00:28:45.062400,4743,1.5732015,3851.9026,184.94986
1970-01-01 00:28:45.148800,11522,1.5346591,9249.056,434.80038
1970-01-01 00:28:45.148800,11522,1.5346591,9249.056,434.80038
1970-01-01 00:28:45.235200,14898,1.7995535,12702.559,707.36975
1970-01-01 00:28:45.235200,14898,1.7995535,12702.559,707.36975
1970-01-01 00:28:45.321600,145,1.2753096,108.70999,5.48
1970-01-01 00:28:45.580800,14683,1.7545897,12470.402,661.4394
1970-01-01 00:28:45.494400,4873,1.612179,3970.5105,190.33995
1970-01-01 00:28:45.667200,4571,2.6828904,4451.4023,332.63058
1970-01-01 00:28:45.321600,145,1.2753096,108.70999,5.48
1970-01-01 00:28:45.494400,4873,1.612179,3970.5105,190.33995
1970-01-01 00:28:45.667200,4571,2.6828904,4451.4023,332.63058
1970-01-01 00:28:45.580800,14683,1.7545897,12470.402,661.4394
1970-01-01 00:28:53.616000,2692,1.5079504,2160.899,109.34
1970-01-01 00:28:53.616000,2692,1.5079504,2160.899,109.34
1970-01-01 00:29:01.046400,808,1.330027,609.0,31.98
1970-01-01 00:29:01.046400,808,1.330027,609.0,31.98
1970-01-01 00:29:01.132800,8059,1.9387791,6825.11,444.58
1970-01-01 00:29:01.132800,8059,1.9387791,6825.11,444.58
1970-01-01 00:29:01.219200,122,1.363285,91.81,4.4700003
1970-01-01 00:29:01.219200,122,1.363285,91.81,4.4700003
1970-01-01 00:29:01.305600,12227,1.8055137,10110.87,591.07
1970-01-01 00:29:01.305600,12227,1.8055137,10110.87,591.07
1970-01-01 00:29:01.392000,4319,1.422166,3299.85,158.28
1970-01-01 00:29:01.392000,4319,1.422166,3299.85,158.28
1970-01-01 00:29:01.478400,9032,1.4975979,6994.49,327.74
1970-01-01 00:29:01.564800,10168,1.918292,8563.99,503.06998
1970-01-01 00:29:01.564800,10168,1.918292,8563.99,503.06998
1970-01-01 00:29:01.478400,9032,1.4975979,6994.49,327.74
1970-01-01 00:29:01.651200,988,1.2681392,736.04,35.68
1970-01-01 00:29:01.651200,988,1.2681392,736.04,35.68
1970-01-01 00:29:01.737600,1185,2.1302822,1051.2999,65.329994
1970-01-01 00:29:01.737600,1185,2.1302822,1051.2999,65.329994
1970-01-01 00:29:01.824000,7073,1.4638271,5455.15,248.4
1970-01-01 00:29:01.824000,7073,1.4638271,5455.15,248.4
1970-01-01 00:29:01.910400,11020,1.9754968,9577.02,574.99
1970-01-01 00:29:01.910400,11020,1.9754968,9577.02,574.99
1970-01-01 00:29:01.996800,4957,1.5416853,3866.06,167.62
1970-01-01 00:29:01.996800,4957,1.5416853,3866.06,167.62
1970-01-01 00:29:02.256000,9025,1.7708131,7487.29,401.33
1970-01-01 00:29:02.256000,9025,1.7708131,7487.29,401.33
1970-01-01 00:29:02.342400,17289,1.4703348,13339.16,612.4
1970-01-01 00:29:02.342400,17289,1.4703348,13339.16,612.4
1970-01-01 00:29:02.428800,5623,1.4986857,4363.16,204.26
1970-01-01 00:29:02.428800,5623,1.4986857,4363.16,204.26
1970-01-01 00:29:02.515200,18252,1.507769,14161.87,673.44
1970-01-01 00:29:02.515200,18252,1.507769,14161.87,673.44
1970-01-01 00:29:03.379200,956,1.8617924,813.74,46.589996
1970-01-01 00:29:03.379200,956,1.8617924,813.74,46.589996
1970-01-01 00:29:03.638400,957,1.318436,716.81,34.37
1970-01-01 00:29:03.638400,957,1.318436,716.81,34.37
1970-01-01 00:29:03.724800,963,1.3422651,724.68,34.43
1970-01-01 00:29:03.724800,963,1.3422651,724.68,34.43
1970-01-01 00:29:03.811200,13006,1.4845905,10054.59,454.57
1970-01-01 00:29:03.811200,13006,1.4845905,10054.59,454.57
1970-01-01 00:29:04.934400,9440,1.549379,7366.81,339.08
1970-01-01 00:29:04.934400,9440,1.549379,7366.81,339.08
1970-01-01 00:29:25.324800,14125,1.4599985,10868.699,496.59998
1970-01-01 00:29:25.324800,14125,1.4599985,10868.699,496.59998
1970-01-01 00:29:25.411200,16301,1.5106126,12660.99,565.38995
